geo_id,geoname_id,name,latitude,longitude,continent,status
1,2508309,'Ain Abid,36.23194,6.94333,Africa/Algiers,0
2,2508275,'Ain Benian,36.80277,2.92185,Africa/Algiers,0
3,2508225,'Ain Deheb,34.84218,1.54697,Africa/Algiers,0
4,2508184,'Ain el Bell,34.34381,3.22475,Africa/Algiers,0
5,2508180,'Ain el Berd,35.36395,-0.51279,Africa/Algiers,0
6,2508152,'Ain el Hammam,36.56471,4.30619,Africa/Algiers,0
7,2508130,'Ain el Melh,34.84146,4.16383,Africa/Algiers,0
8,2508119,'Ain el Turk,35.74381,-0.7693,Africa/Algiers,0
9,2508010,'Ain Merane,36.16277,0.97037,Africa/Algiers,0
10,250799,'Ajlun,32.33326,35.75279,Asia/Amman,0
11,225284,'Ali Sabieh,11.15583,42.7125,Africa/Djibouti,0
12,78428,'Amran,15.6594,43.94385,Asia/Aden,0
13,98822,'Aqrah,36.73322,43.87964,Asia/Baghdad,0
14,108512,'Ar'ar,30.97531,41.03808,Asia/Riyadh,0
15,295657,'Arad,31.25882,35.21282,Asia/Jerusalem,0
16,172256,'Ayn al 'Arab,36.89095,38.35347,Asia/Damascus,0
17,5855070,'Ewa Gentry,21.33999,-158.03039,Pacific/Honolulu,0
18,2747364,'s-Gravenzande,52.00167,4.16528,Europe/Amsterdam,0
19,2747351,'s-Hertogenbosch,51.69917,5.30417,Europe/Amsterdam,0
20,281165,`Abasan al Kabirah,31.31913,34.34005,Asia/Gaza,0
21,99738,`Afak,32.0643,45.24743,Asia/Baghdad,0
22,110250,`Afif,23.9065,42.91724,Asia/Riyadh,0
23,174186,`Afrin,36.51194,36.86954,Asia/Damascus,0
24,295739,`Afula `Illit,32.63221,35.32533,Asia/Jerusalem,0
25,2508157,`Ain el Hadjel,35.67003,3.88153,Africa/Algiers,0
26,144443,`Ajab Shir,37.4776,45.8943,Asia/Tehran,0
27,295721,`Akko,32.92814,35.07647,Asia/Jerusalem,0
28,99306,`Ali al Gharbi,32.46186,46.68794,Asia/Baghdad,0
29,98885,`Anat al Qadimah,34.46934,41.94223,Asia/Baghdad,0
30,250420,`Anjarah,32.3063,35.75653,Asia/Amman,0
31,287830,`Ibri,23.22573,56.51572,Asia/Muscat,0
32,169372,`Irbin,33.53719,36.36635,Asia/Damascus,0
33,355392,`Izbat al Burj,31.5084,31.84106,Africa/Cairo,0
34,248923,`Izra,31.15889,35.69278,Asia/Amman,0
35,3119841,A Coruna,43.37135,-8.396,Europe/Madrid,0
36,3119746,A Estrada,42.68911,-8.48842,Europe/Madrid,0
37,2625070,Aabenraa,55.04434,9.41741,Europe/Copenhagen,0
38,3247449,Aachen,50.77664,6.08342,Europe/Berlin,0
39,2624886,Aalborg,57.048,9.9187,Europe/Copenhagen,0
40,2959927,Aalen,48.83777,10.0933,Europe/Berlin,0
41,2760134,Aalsmeer,52.25917,4.75972,Europe/Amsterdam,0
42,2803448,Aalst,50.93604,4.0355,Europe/Brussels,0
43,2760123,Aalten,51.925,6.58056,Europe/Amsterdam,0
44,2803443,Aalter,51.09017,3.44693,Europe/Brussels,0
45,2661881,Aarau,47.39254,8.04422,Europe/Zurich,0
46,2803429,Aarschot,50.98715,4.83695,Europe/Brussels,0
47,2353151,Aba,5.10658,7.36667,Africa/Lagos,0
48,145459,Abadan,30.3392,48.3043,Asia/Tehran,0
49,162099,Abadan,38.05415,58.19721,Asia/Ashgabat,0
50,145449,Abadeh,31.1608,52.6506,Asia/Tehran,0
51,3473267,Abaete,-19.16,-45.44583,America/Sao_Paulo,0
52,3408424,Abaetetuba,-1.71806,-48.8825,America/Belem,0
53,2353099,Abakaliki,6.32485,8.11368,Africa/Lagos,0
54,1512236,Abakan,53.71556,91.42917,Asia/Krasnoyarsk,0
55,3948642,Abancay,-13.63389,-72.88139,America/Lima,0
56,3183587,Abano Terme,45.35753,11.78725,Europe/Rome,0
57,2130741,Abashiri,44.02127,144.26971,Asia/Tokyo,0
58,4019869,Abasolo,20.44997,-101.53073,America/Mexico_City,0
59,1526970,Abay,49.63575,72.86164,Asia/Almaty,0
60,1512205,Abaza,52.655,90.09278,Asia/Krasnoyarsk,0
61,3038789,Abbeville,50.1,1.83333,Europe/Paris,0
62,3183573,Abbiategrasso,45.39821,8.91678,Europe/Rome,0
