city,latitude,longitude
10 de Abril,16.82917,-99.74083
18 de Marzo,18.96889,-98.16028
1ra. Seccion de Izapa,14.92083,-92.17083
25 de Agosto,-34.41167,-56.40222
25 de Mayo,-34.18917,-56.33944
28 de Noviembre,-51.5839,-72.21382
2da. Seccion de Medio Monte,14.88194,-92.18444
31 de Octubre,27.29583,-110.0375
A Coruna,43.37135,-8.396
A dos Cunhados,39.15237,-9.2972
A Estrada,42.68911,-8.48842
A Guarda,41.90131,-8.87423
A i Afjord,63.96068,10.22468
A Luoi,16.27228,107.23385
A Rua,42.40048,-7.10268
A Yun Pa,13.40025,108.43503
A'erda,47.13326,87.508
A'erla,48.67995,124.10034
A'ershan,48.70131,116.92611
A'opo,-13.53975,-172.51931
A'yi Take,38.95303,75.42783
Aabenraa,55.04434,9.41741
Aach,49.78333,6.6
Aach,47.8424,8.85384
Aachen,50.77664,6.08342
Aadorf,47.49204,8.90099
Aalborg,57.048,9.9187
Aalburg,51.75482,5.13156
Aalen,48.83777,10.0933
Aaley,33.80528,35.6
Aalsmeer,52.25917,4.75972
Aalst,50.93604,4.0355
Aalten,51.925,6.58056
Aalter,51.09017,3.44693
Aanislag,13.0748,123.703
Aarau,47.39254,8.04422
Aarberg,47.04439,7.27578
Aarburg,47.32067,7.89986
Aarle-Rixtel,51.50976,5.63839
Aars,56.80399,9.51441
Aarschot,50.98715,4.83695
Aartselaar,51.13412,4.38678
Aarwangen,47.23845,7.76854
Aas,63.05,11.65
Aasbuttel,54.06667,9.43333
Aasiaat,68.70981,-52.86988
Ab Bar,36.9225,48.9745
Ab-e Kamari,35.08796,63.0678
Aba,32.90594,101.70625
Aba,47.02907,18.52172
Aba,5.10658,7.36667
Ababuj,40.54908,-0.80758
Abaca,11.1342,122.7156
Abaca,9.9204,124.5051
Abadan,30.3392,48.3043
Abadan,38.05415,58.19721
Abadeh,31.1608,52.6506
Abades,40.91646,-4.26937
Abadia,40.25922,-5.97828
Abadiania,-16.20417,-48.70694
Abadin,43.36667,-7.48333
Abadino,43.1511,-2.60942
Abadou,31.57917,-7.31308
Abadszalok,47.46667,20.6
Abadzekhskaya,44.39389,40.22139
Abaete,-19.16,-45.44583
Abaetetuba,-1.71806,-48.8825
Abagana,6.19031,6.99357
Abagur,53.7308,87.2526
Abai,-26.03333,-55.93333
Abaigar,42.64823,-2.14182
Abajas,42.6231,-3.58086
Abaji,8.47372,6.94453
Abak,4.98236,7.78922
Abakaliki,6.32485,8.11368
Abakan,53.71556,91.42917
Abalak,15.4509,6.2793
Abalak,58.12861,68.59444
Abalcisqueta,43.04744,-2.10532
Abalos,42.57154,-2.70956
Aban,56.6787,96.0658
Abana,41.97858,34.011
Abanades,40.89261,-2.48526
Abancay,-13.63389,-72.88139
Abang,-8.3866,115.6013
Abangay,10.96667,122.65
Abanilla,38.20537,-1.04153
Abano Terme,45.35753,11.78725
Abanto,41.13751,-1.69818
Abapo,-18.88279,-63.38026
Abaran,38.20551,-1.39907
Abarkuh,31.1289,53.2824
Abasar,47.79705,20.00324
Abasha,42.20959,42.22111
Abashiri,44.02127,144.26971
Abasolo,24.05844,-98.37333
Abasolo,20.44997,-101.53073
Abasolo del Valle,17.78306,-95.54556
Abastumani,41.7075,42.84571
Abat,4.61712,7.86639
Abatskoye,56.28748,70.45553
Abaujszanto,48.28333,21.2
Abay,49.63575,72.86164
Abaza,52.655,90.09278
Abbadia Cerreto,45.31217,9.59416
Abbadia Lariana,45.89947,9.33518
Abbadia San Salvatore,42.8812,11.6722
Abbaretz,47.55314,-1.532
Abbasanta,40.12812,8.8176
Abbateggio,42.22421,14.01001
Abbazia,45.748,9.84205
Abbazia Pisani,45.6127,11.85429
Abbeville,50.1,1.83333
Abbeville,31.99212,-83.30682
Abbeville,29.97465,-92.13429
Abbeville,34.17817,-82.37901
Abbeville,31.57184,-85.25049
Abbey Dore,51.96667,-2.9
Abbey Wood,51.48688,0.10747
Abbeyfeale,52.38139,-9.3025
Abbeyleix,52.89917,-7.3575
Abbiategrasso,45.39821,8.91678
Abborrberget,60.15,14.8
Abbots Langley,51.70573,-0.41757
Abbotsford,-37.8,145
Abbotsford,49.05798,-122.25257
Abbotsford,44.94636,-90.31597
Abbottabad,34.14685,73.21449
Abbotts Ann,51.19016,-1.53234
Abbottstown,39.88649,-76.9847
Abda,47.69464,17.54489
Abdanan,32.9926,47.4198
Abdulino,53.7,53.66667
Abdurahmoni Jomi,37.94636,68.80878
Abeche,13.82916,20.8324
Abegondo,43.21667,-8.28333
Abeibara,19.11667,1.75
Abeilhan,43.44925,3.29529
Abejales,7.62241,-71.51017
Abejar,41.80755,-2.78407
Abejorral,5.78928,-75.42725
Abejukolo,7.86808,7.50907
Abelardo L. Rodriguez,18.7375,-98.98528
Abenberg,49.24282,10.96401
Abengibre,39.21667,-1.53333
Abengourou,6.72972,-3.49639
Abenojar,38.88032,-4.35702
Abensberg,48.81684,11.8498
Abentheuer,49.65,7.1
Abeokuta,7.15571,3.34509
Abepura,-2.5964,140.6324
Aber,53.23333,-4.01667
Aberaeron,52.24247,-4.25871
Abercanaid,51.72361,-3.36611
Abercarn,51.64733,-3.13476
Aberchirder,57.56012,-2.62856
Aberdare,51.71438,-3.44918
Aberdeen,57.14369,-2.09814
Aberdeen,39.50956,-76.16412
Aberdeen,33.82511,-88.54366
Aberdeen,35.13155,-79.42948
Aberdeen,38.65563,-83.76103
Aberdeen,41.43893,-87.11142
Aberdeen,45.4647,-98.48648
Aberdeen,42.94408,-112.83833
Aberdeen,46.97537,-123.81572
Aberdeen Proving Ground,39.46686,-76.13066
Aberdour,56.05,-3.3
Aberfeldy,56.62,-3.86453
Aberford,53.82604,-1.34231
Abergavenny,51.82098,-3.01743
Abergele,53.28436,-3.5822
Aberkenfig,51.54,-3.59556
Abernant,51.88139,-4.41556
Abernathy,33.8323,-101.84295
Abernethy,56.33247,-3.31226
Aberporth,52.13248,-4.54173
Abertamy,50.36874,12.81826
Abertillery,51.72981,-3.13432
Abertridwr,51.59583,-3.26833
Abertura,39.24352,-5.81394
Aberystwyth,52.41548,-4.08292
Abetone,44.14595,10.66407
Abezames,41.62642,-5.42577
Abfaltersbach,46.76028,12.54194
Abha,18.21639,42.50528
Abhaneri,27.00743,76.6076
Abhar,36.1468,49.218
Abhayapuri,26.32255,90.68526
Abi al Khasib,30.44636,47.97813
Abia de las Torres,42.42016,-4.42131
Abidjan,5.30966,-4.01266
Abidos,-1.9175,-55.51806
Abiego,42.12094,-0.06873
Abiera,11.5749,122.09
Abigi,6.48676,4.39531
Abiko,35.86667,140.01667
Abilay,10.73333,122.5
Abilene,38.91722,-97.21391
Abilene,32.44874,-99.73314
Abilly,46.93333,0.73333
Abim,2.70167,33.67611
Abingdon,51.67109,-1.28278
Abingdon,36.70983,-81.97735
Abingdon,40.80448,-90.4018
Abington,42.10482,-70.94532
Abinsk,44.86803,38.15728
Abiramam,9.44125,78.44065
Abis,9.7173,122.9438
Abita Springs,30.47864,-90.04008
Abizanda,42.24236,0.19717
Abja-Paluoja,58.12528,25.34972
Abla,37.14245,-2.77808
Ablain-Saint-Nazaire,50.3932,2.7088
Ablanque,40.89818,-2.22523
Ableiges,49.08932,1.98154
Ablis,48.5172,1.83624
Ablitas,41.9745,-1.64053
Ablon,49.39214,0.29584
Ablon-sur-Seine,48.72732,2.42686
Abnub,27.2696,31.15105
Abobo,5.41613,-4.0159
Abocho,7.5677,6.9863
Aboh,5.54781,6.52588
Aboh,5.47569,7.27161
Abohar,30.14453,74.19552
Aboisso,5.46779,-3.20711
Abomey,7.18286,1.99119
Abomey-Calavi,6.44852,2.35566
Abomsa,9.98333,39.98333
Abondance,46.28031,6.72026
Abondant,48.7859,1.44006
Abong Mbang,3.98333,13.18333
Abonnema,4.73171,6.77223
Abony,47.1899,20.00476
Aborlan,9.43361,118.54879
Aboso,5.3617,-1.94732
Abou el Hassan,36.41657,1.19616
Abovyan,40.26741,44.62656
Abovyan,40.04851,44.54742
Aboyne,57.07546,-2.78023
Abqaiq,25.9371,49.67761
Abra de Ilog,13.4437,120.7291
Abra Pampa,-22.72049,-65.69697
Abraham's Bay,22.36667,-72.96667
Abraka,5.79023,6.10473
Abram,53.50855,-2.59266
Abram,47.31667,22.38333
Abram,26.1998,-98.41113
Abramovka,51.1886,41.0202
Abramow,51.45647,22.31521
Abramut,47.31667,22.25
Abrantes,39.46667,-8.2
Abrau-Dyurso,44.69973,37.60098
Abraveses,40.68137,-7.92102
Abrego,8.08065,-73.22054
Abrera,41.51682,1.901
Abreschviller,48.63647,7.09466
Abrest,46.09907,3.448
Abreu e Lima,-7.91167,-34.90278
Abreus,22.2775,-80.5675
Abrevadero,18.28222,-95.21444
Abriaqui,6.63148,-76.06444
Abricots,18.63125,-74.3417
Abriola,40.50748,15.8131
Abrucena,37.13226,-2.79711
Abrud,46.27406,23.06339
Abrud-Sat,46.28166,23.06098
Absam,47.3,11.5
Absarokee,45.5205,-109.44294
Absberg,49.14438,10.88101
Abscon,50.33333,3.3
Absecon,39.42845,-74.49571
Abstatt,49.0682,9.2907
Abtenau,47.56373,13.34599
Abtsbessingen,51.25,10.76667
Abtsdorf,51.88984,12.72526
Abtsgmund,48.89503,10.00172
Abtweiler,49.75,7.65
Abu,24.59365,72.71756
Abu `Arish,16.96887,42.83251
Abu al Matamir,30.91018,30.17438
Abu az Zuhur,35.74058,37.0448
Abu Dhabi,24.46667,54.36667
Abu Dis,31.76215,35.26166
Abu Ghaush,31.80592,35.1093
Abu Ghurayb,33.30563,44.18477
Abu Jibeha,11.4562,31.2285
Abu Kabir,30.72508,31.67148
Abu Musa,25.86698,55.02363
Abu Qalqal,36.43806,38.11984
Abu Qashsh,31.94883,35.18426
Abu Qurqas,27.9312,30.83841
Abu Road,24.48012,72.78186
Abu Sunbul,22.3457,31.61624
Abu Tij,27.04411,31.31897
Abu Zabad,12.35,29.25
Abua,4.85763,6.64519
Abucay,14.73347,120.53358
Abucay,12.982,123.6492
Abucayan,9.929,123.9146
Abudu,6.29489,6.02995
Abudula,46.84635,83.27552
Abuja,9.05785,7.49508
Abuko,13.40417,-16.65583
Abulug,18.44528,121.45333
Abuochiche,6.69132,8.94337
Aburi,5.84802,-0.17449
Abusejo,40.709,-6.14074
Abut,17.35423,121.60138
Abuyog,12.9461,124.0519
Abuyog,10.747,125.0107
Abuyon,13.6226,122.5191
Aby,58.66667,16.18333
Abybro,57.15836,9.73672
Abyek,36.06667,50.55
Abyek,36.03993,50.53101
Abzac,45.01667,-0.13333
Abzakovo,53.82861,58.59333
Acachapan y Colmena 3ra. Seccion,18.04858,-92.7775
Acacias,3.98695,-73.75797
Acacoyahua,15.34094,-92.67559
Acahay,-25.91667,-57.15
Acahuizotla,17.36054,-99.46759
Acajete,19.10412,-97.95104
Acajutiba,-11.66222,-38.01722
Acajutla,13.59278,-89.8275
Acala,16.55514,-92.80758
Acala del Rio,37.5178,-5.98185
Acambaro,20.03024,-100.72249
Acambay,19.95518,-99.84289
Acamixtla,18.56216,-99.57206
Acanceh,20.81269,-89.45295
Acandi,8.51158,-77.27719
Acao,16.52556,120.37639
Acapeteahua,15.28184,-92.69032
Acapetlahuaya,18.41942,-100.07237
Acaponeta,22.49396,-105.36369
Acapulco de Juarez,16.86336,-99.8901
Acara,-1.96083,-48.19667
Acarau,-2.88556,-40.12
Acari,-15.43092,-74.61552
Acarigua,9.55451,-69.19564
Acarlar,37.82444,27.74667
Acas,47.53333,22.78333
Acas,-10.45778,-77.32729
Acatari,46.47975,24.63324
Acate,37.02318,14.49302
Acatempa,17.64333,-99.36639
Acatempan,18.31809,-99.88298
Acatenango,14.55194,-90.94222
Acatepec,16.7375,-98.4275
Acatepec,17.32472,-98.90944
Acatic,20.77995,-102.91056
Acatla,18.74944,-97.21833
Acatlan de Osorio,18.2025,-98.04864
Acatlan de Perez Figueroa,18.53973,-96.60568
Acatzingo (Acatzingo de la Piedra),18.92389,-99.58861
Acatzingo de Hidalgo,18.98036,-97.78473
Acaxochitlan,20.15789,-98.20172
Acaxtlahuacan de Albino Zertuche,18.01714,-98.54018
Acaxtlahuacan de Albino Zertuche,18.01861,-98.54111
Acayuca,20.02639,-98.84097
Acayucan,17.94885,-94.91399
Accadia,41.15768,15.331
Acceglio,44.47463,6.99092
Accettura,40.49102,16.15798
Accha,-13.97389,-71.82667
Acciano,42.17677,13.71783
Accocunca,-14.76944,-71.25417
Accokeek,38.66762,-77.02831
Accomac,37.71957,-75.66548
Accomarca,-13.8,-73.90306
Acconia,38.83585,16.2653
Accra,5.55602,-0.1969
Accrington,53.75379,-2.35863
Accumoli,42.69476,13.24761
Accusilian,17.74791,121.46254
Acebedo,43.03969,-5.116
Acebo,40.20105,-6.71689
Acedera,39.07678,-5.57384
Acegua,-31.86667,-54.2
Aceituna,40.15008,-6.33292
Aceitunas,18.44328,-67.0649
Acerenza,40.79386,15.93808
Acerno,40.73771,15.05695
Acerra,40.94477,14.3714
Aceuchal,38.64627,-6.48636
Acevedo,1.83605,-75.85498
Achacachi,-16.05,-68.68333
Achalla,6.33465,6.98863
Achalpur,21.25665,77.51006
Achanizo,-15.80611,-73.96694
Acharavi,39.7936,19.81736
Acharnes,38.08333,23.73333
Achau,48.08026,16.38611
Achaya,-15.26667,-70.15
Acheng,45.54545,126.97703
Achenheim,48.5807,7.62803
Achenkirch,47.52659,11.70559
Acheres,48.96115,2.06882
Acheres-la-Foret,48.35458,2.57035
Acheritou,35.10022,33.86155
Achern,48.63115,8.07607
Achham,29.05,81.3
Achhnera,27.17826,77.75674
Achi,8.56818,-74.55405
Achiaman,5.7,-0.33333
Achichipico,18.94861,-98.82611
Achicourt,50.27429,2.75779
Achiet-le-Grand,50.13067,2.78119
Achikulak,44.55167,44.83778
Achim,53.01416,9.0263
Achinsk,56.2694,90.4993
Achiote,9.21121,-80.01338
Achiras,-33.17538,-64.99331
Achisu,42.65197,47.68282
Achit,56.7985,57.8994
Achkhoy-Martan,43.18997,45.28373
Achna,35.05515,33.78388
Achoma,-15.66083,-71.70083
Achslach,48.97171,12.93511
Achstetten,48.25886,9.89748
Acht,50.36667,7.06667
Achtelsbach,49.61667,7.08333
Achterwehr,54.31318,9.9661
Achtrup,54.78333,9.03333
Achuapa,13.0537,-86.59004
Achutupo,9.19827,-77.98729
Aci Bonaccorsi,37.5964,15.10724
Aci Castello,37.55564,15.14535
Aci Catena,37.60614,15.14165
Aci Sant'Antonio,37.60499,15.12294
Aci Trezza,37.56385,15.16136
Acigne,48.13333,-1.53704
Acikdere,36.21909,36.25992
Acilia-Castel Fusano-Ostia Antica,41.76337,12.33078
Acipayam,37.42385,29.34941
Acipinar,38.52671,33.85225
Acireale,37.60886,15.16577
Acirli,37.4573,41.29686
Acitrezza,37.5596,15.1599
Ackerman,33.31012,-89.17284
Acklam,54.04745,-0.8038
Ackley,42.55415,-93.05326
Acklington,55.3,-1.63333
Acle,52.63681,1.54757
Acli,15.12279,120.6447
Aco,-8.53333,-77.88333
Aco,-11.95707,-75.36996
Aco,-10.49718,-77.24149
Aco,-9.36917,-77.56333
Acobamba,-12.86667,-74.56667
Acobamba,-11.35252,-75.66211
Acobambilla,-12.65,-75.38333
Acocks Green,52.45,-1.81667
Acocro,-13.21778,-74.04333
Acolla,-11.73193,-75.54634
Acolman,19.62375,-98.92407
Acomayo,-9.80105,-76.07194
Acomayo,-13.91667,-71.68111
Acomb,54.99229,-2.11229
Aconchi,29.82628,-110.22492
Aconibe,1.29683,10.93691
Acopampa,-9.29722,-77.61778
Acopiara,-6.09528,-39.4525
Acoria,-12.61667,-74.88333
Acos,-13.95083,-71.73722
Acos,-11.27361,-76.82083
Acoua,-12.72391,45.05819
Acoyapa,11.97028,-85.17113
Acoyotla,21.12551,-98.77729
Acquafondata,41.54282,13.95281
Acquaformosa,39.72278,16.09096
Acquafredda,45.30697,10.41343
Acqualagna,43.62606,12.67596
Acquanegra Cremonese,45.16864,9.89074
Acquanegra sul Chiese,45.16404,10.43323
Acquapendente,42.74259,11.86827
Acquappesa,39.49573,15.95419
Acquarica del Capo,39.90979,18.2468
Acquaro,38.55729,16.18781
Acquarossa,46.45176,8.93999
Acquasanta Terme,42.77084,13.41418
Acquasparta,42.68915,12.54275
Acquaviva,43.11566,11.86249
Acquaviva,43.94593,12.4185
Acquaviva Collecroce,41.86624,14.74733
Acquaviva d'Isernia,41.67132,14.1477
Acquaviva delle Fonti,40.89704,16.8433
Acquaviva Picena,42.94037,13.82227
Acquaviva Platani,37.57174,13.70156
Acquedolci,38.05708,14.5855
Acqui Terme,44.67552,8.46934
Acquigny,49.1735,1.1765
Acres Green,39.55666,-104.89609
Acri,39.49624,16.38635
Acris,45.63673,25.99247
Acs,47.71231,18.01131
Acsa,47.79425,19.38795
Actipan,18.95796,-97.80337
Acton,-35.27767,149.11829
Acton,52.45,-3.01667
Acton,51.50901,-0.2762
Acton,42.48509,-71.43284
Acton,34.46999,-118.19674
Acton Park,-42.87932,147.48459
Acton Vale,45.65007,-72.56582
Actopan,20.26961,-98.94377
Actopan,19.50427,-96.61668
Acu,-5.57667,-36.90861
Acuaco,19.7625,-97.56444
Acuamanala,19.22361,-98.20056
Acucena,-19.07306,-42.54639
Acuexcomac,19.03701,-98.38493
Acuitzio del Canje,19.49926,-101.33499
Acul du Nord,19.67804,-72.31763
Acultzingo,18.71894,-97.30367
Acurenam,1.03225,10.64882
Acushnet,41.68066,-70.90782
Acushnet Center,41.68508,-70.90642
Acuto,41.79107,13.17446
Acworth,34.06635,-84.67837
Acxotla del Rio,19.32417,-98.2375
Aczo,-9.15193,-76.98925
Ad Dabbah,18.05,30.95
Ad Daliyah,35.23605,36.14371
Ad Dana,36.21252,36.76978
Ad Dann,14.3518,43.85275
Ad Darb,17.72285,42.25261
Ad Darbasiyah,37.07279,40.65199
Ad Dasmah,29.365,48.00139
Ad Dawadimi,24.50772,44.39237
Ad Dawhah,31.69948,35.18047
Ad Dawr,34.45597,43.79341
Ad Dil`,14.67199,43.81827
Ad Dilam,23.99104,47.16181
Ad Dilinjat,30.82791,30.53633
Ad Dimas,33.58739,36.09262
Ad Dimnah,13.45398,44.18168
Ad Dindar,13.2,34.16667
Ad Dis ash Sharqiyah,14.90806,49.94778
Ad Diwaniyah,31.99289,44.92552
Ad Douiem,14.0012,32.3116
Ad Dujayl,33.84667,44.23444
Ad Dumayr,33.64389,36.69376
